dbo,SysAdmin_Staging_UnsyncedResults,6,SWVersion,varchar,10,,NAO,,,
dbo,SysAdmin_Staging_UnsyncedResults,7,CustSWVersion,varchar,10,,NAO,,,
dbo,SysAdmin_Staging_UnsyncedResults,8,CustHWVersion,varchar,10,,NAO,,,
dbo,SysAdmin_Staging_UnsyncedResults,9,Result,bit,,,NAO,,,
dbo,SysAdmin_Staging_UnsyncedResults,10,CycleTime,real,,,NAO,,,
dbo,SysAdmin_Staging_UnsyncedResults,11,Timestamp,datetime,,,NAO,,,
dbo,SysAdmin_Staging_UnsyncedResults,12,Nest_Number,tinyint,,,NAO,,,
dbo,SysAdmin_Staging_UnsyncedSequences,1,SyncID,bigint,,,NAO,,,
dbo,SysAdmin_Staging_UnsyncedSequences,2,Sequence_Index,bigint,,,NAO,,,
dbo,SysAdmin_Staging_UnsyncedSequences,3,Program_Index,bigint,,,NAO,,,
dbo,SysAdmin_Staging_UnsyncedSequences,4,Sequence,smallint,,,NAO,,,
dbo,SysAdmin_Staging_UnsyncedSequences,5,TestGroup,varchar,30,,NAO,,,
dbo,SysAdmin_Staging_UnsyncedSequences,6,TestDescription,nvarchar,50,,NAO,,,
dbo,SysAdmin_Staging_UnsyncedSequences,7,Type,varchar,10,,NAO,,,
dbo,SysAdmin_Staging_UnsyncedSequences,8,Unit,varchar,10,,SIM,,,
dbo,SysAdmin_Staging_UnsyncedSequences,9,Setup,real,,,SIM,,,
dbo,SysAdmin_Staging_UnsyncedSequences,10,SetupTime,real,,,SIM,,,
dbo,SysAdmin_Staging_UnsyncedSequences,11,LowLimit,real,,,SIM,,,
dbo,SysAdmin_Staging_UnsyncedSequences,12,HighLimit,real,,,SIM,,,
dbo,SysAdmin_Staging_UnsyncedSequences,13,Overridable,bit,,,NAO,,,
dbo,SysAdmin_Staging_UnsyncedSequences,14,Override,bit,,,NAO,,,
dbo,SysAdmin_Staging_UnsyncedSequences,15,OvLowLimit,real,,,SIM,,,
dbo,SysAdmin_Staging_UnsyncedSequences,16,OvHighLimit,real,,,SIM,,,
dbo,SysAdmin_Staging_UnsyncedSequences,17,Active,bit,,,NAO,,,
dbo,SysAdmin_SyncPrograms,1,SyncID,bigint,,PK,NAO,,,
dbo,SysAdmin_SyncPrograms,2,Program_Index,bigint,,FK,NAO,dbo,Program,Index
dbo,SysAdmin_SyncPrograms,3,Program_Timestamp,datetime,,,NAO,,,
dbo,SysAdmin_SyncPrograms,4,IsSynced,bit,,,NAO,,,
dbo,SysAdmin_SyncResults,1,SyncID,bigint,,PK,NAO,,,
dbo,SysAdmin_SyncResults,2,Result_Index,bigint,,FK,NAO,dbo,Result,Index
dbo,SysAdmin_SyncResults,3,Result_Timestamp,datetime,,,NAO,,,
dbo,SysAdmin_SyncResults,4,IsSynced,bit,,,NAO,,,
dbo,TestSequence,1,Index,bigint,,PK,NAO,,,
dbo,TestSequence,2,Program_index,bigint,,FK,NAO,dbo,Program,Index
dbo,TestSequence,3,Sequence,smallint,,,NAO,,,
dbo,TestSequence,4,TestGroup,varchar,30,,NAO,,,
dbo,TestSequence,5,TestDescription,nvarchar,50,,NAO,,,
dbo,TestSequence,6,Type,varchar,10,,NAO,,,
dbo,TestSequence,7,Unit,varchar,10,,SIM,,,
dbo,TestSequence,8,Setup,real,,,SIM,,,
dbo,TestSequence,9,SetupTime,real,,,SIM,,,
dbo,TestSequence,10,LowLimit,real,,,SIM,,,
dbo,TestSequence,11,HighLimit,real,,,SIM,,,
dbo,TestSequence,12,Overridable,bit,,,NAO,,,
dbo,TestSequence,13,Override,bit,,,NAO,,,
dbo,TestSequence,14,OvLowLimit,real,,,SIM,,,
dbo,TestSequence,15,OvHighLimit,real,,,SIM,,,
dbo,TestSequence,16,Active,bit,,,NAO,,,
